symbol,entry_date,days_held,signal_type,context_rvol,context_adr,context_trend,dist_sma20_pct,consolidation_days,is_vcp_pattern,time_since_earnings,sector_strength,VolTrig,shares,position_value,monetary_risk,returns_pct,r_multiple,Result
WDC,2019-01-24,1,BREAKOUT,2.1181530486401345,5.081960404092444,Weak,5.787473838308645,11,false,-1,0,✅ Safe,13,372.9141921997071,18.645709609985353,7.523671551291473,1.5047343102582968,28.05683898925781
WDC,2019-01-24,26,BREAKOUT,2.1181530486401345,5.081960404092444,Weak,5.787473838308645,11,false,-1,0,✅ Safe,7,200.79994964599612,10.039997482299807,20.508589281782534,4.101717856356509,41.18123695092351
WDC,2019-01-24,41,BREAKOUT,2.1181530486401345,5.081960404092444,Weak,5.787473838308645,11,false,-1,0,✅ Safe,6,172.11424255371097,8.605712127685548,19.880432767634595,3.9760865535269216,34.21705627441406
AMAT,2018-11-16,3,BREAKOUT,2.167999434743142,4.550152640799483,Weak,4.940178488374872,14,false,-1,0,☔ Danger,9,293.97415924072266,14.698707962036133,-2.7683472508057703,-0.553669450161154,-8.138225555419922
AMAT,2018-11-16,4,BREAKOUT,2.167999434743142,4.550152640799483,Weak,4.940178488374872,14,false,-1,0,☔ Danger,10,326.63795471191406,16.331897735595703,0,0,0
AMD,2018-03-07,2,BREAKOUT,2.3354767872515447,4.310028276951003,Weak,2.800989083574887,14,false,-1,2.7919369626730823,✅ Safe,81,991.4399814605713,49.571999073028564,-4.411764476721854,-0.8823528953443707,-43.739996910095215
TTWO,2019-01-14,9,BREAKOUT,2.066520458000888,4.137899794203545,Downtrend,0.8787760693338741,17,false,-1,0,✅ Safe,9,944.8200302124023,47.24100151062012,-4.924752936768092,-0.9849505873536212,-46.530052185058594
ADSK,2018-11-21,26,BREAKOUT,2.553957675669356,4.02607259100616,Downtrend,2.7576514745229286,15,false,-1,0,☔ Danger,4,540.1599731445312,27.007998657226565,-5.753848511087199,-1.1507697022174397,-31.079986572265625
WDC,2019-03-21,1,BREAKOUT,2.0043885979888945,3.9896982553814073,Weak,4.938898513769143,16,false,-1,0,✅ Safe,33,1221.136459350586,61.0568229675293,-6.546938418698092,-1.3093876837396183,-79.94705200195312
WDC,2019-08-01,1,BREAKOUT,2.041598016833848,3.9609234302673886,Uptrend,2.7649050231761314,17,false,-1,0,☔ Danger,17,689.7189178466797,34.48594589233399,-3.9812631311599698,-0.7962526262319941,-27.459524984865386
LRCX,2018-04-18,1,BREAKOUT,2.4740345662927754,3.913836566162967,Uptrend,0.3441918504482473,14,false,-1,0,✅ Safe,53,966.2128219604492,48.310641098022465,-6.56618814236792,-1.3132376284735836,-63.44335174560547
DE,2018-02-16,5,BREAKOUT,2.6625230267321025,3.8465569142022593,Uptrend,2.842063380080167,16,false,-1,0,✅ Safe,7,1052.7420654296875,52.63710327148438,-4.337813278961436,-0.8675626557922873,-45.66598510742188
TTWO,2018-05-03,6,BREAKOUT,4.479496048653276,3.631843866925572,Weak,5.878736939740776,19,false,-1,0,☔ Danger,3,315.2999954223633,15.764999771118166,10.123011259117755,2.0246022518235534,31.917854036603643
TTWO,2018-05-03,41,BREAKOUT,4.479496048653276,3.631843866925572,Weak,5.878736939740776,19,false,-1,0,☔ Danger,2,210.1999969482422,10.50999984741211,12.624029643822599,2.5248059287645166,26.535709926060264
TTWO,2018-05-03,53,BREAKOUT,4.479496048653276,3.631843866925572,Weak,5.878736939740776,19,false,-1,0,☔ Danger,2,210.1999969482422,10.50999984741211,11.06565656675644,2.2131313133512878,23.260009765625
SSRM,2018-03-16,3,BREAKOUT,2.119283964713899,3.4848954514938835,Weak,4.037531395859282,17,false,-1,0,✅ Safe,72,615.9173812866211,30.795869064331058,0.6681310380094776,0.13362620760189553,4.115135192871094
SSRM,2018-03-16,4,BREAKOUT,2.119283964713899,3.4848954514938835,Weak,4.037531395859282,17,false,-1,0,✅ Safe,72,615.9173812866211,30.795869064331058,-0.4454318403442072,-0.08908636806884143,-2.743492126464844
KLAC,2019-08-06,21,BREAKOUT,2.0015684490313927,3.4603143871701505,Uptrend,2.503246712266161,17,false,-1,0,☔ Danger,2,249.87741088867188,12.493870544433594,3.9747922764343606,0.794958455286872,9.932108028557082
KLAC,2019-08-06,29,BREAKOUT,2.0015684490313927,3.4603143871701505,Uptrend,2.503246712266161,17,false,-1,0,☔ Danger,1,124.93870544433594,6.246935272216797,12.481342635470542,2.496268527094108,15.594027910828856
